Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Feng, Gen-Sheng",BIBC 102 - Metabolic Biochemistry (A),WI17,153,78,80.30%,78.90%,8.14,B (3.00),B- (2.71)
"Coleman, Aaron B.",BIBC 102 - Metabolic Biochemistry (B),WI17,259,210,92.20%,96.10%,7.48,B (3.23),B- (2.72)
"Soowal, Lara",BIBC 103 - Biochemical Techniques (A),WI17,43,19,94.10%,88.20%,6.03,B (3.24),B- (2.85)
"Bozinovic, Goran",BIBC 103 - Biochemical Techniques (B),WI17,124,62,96.50%,91.20%,6.79,B (3.23),B (3.22)
"Burg, Michael",BIBC 103 - Biochemical Techniques (C),WI17,66,31,90.00%,93.30%,7.1,B (3.24),B (3.23)
"Chilukuri, Lakshmi N",BIBC 120 - Nutrition (A),WI17,183,156,94.80%,96.10%,6.26,B+ (3.38),B- (2.85)
"Huffaker, Alisa",BIBC 194 - Adv Topics-Biochemistry (A),WI17,27,17,93.80%,100.00%,2.75,A- (3.93),A (4.00)
"Day, Christopher D",BICD 100 - Genetics (A),WI17,200,113,93.30%,79.00%,5.09,B+ (3.47),B (3.24)
"Lo, Stanley Malvin Ming-Hi",BICD 100 - Genetics (B),WI17,283,239,82.10%,60.40%,6.49,B (3.23),B- (2.92)
"Teodorof, Carmen",BICD 110 - Cell Biology (A),WI17,254,231,86.50%,71.20%,6.03,B+ (3.49),B- (2.98)
"Posakony, James W","BICD 130 - Embryos, Genes, & Development (A)",WI17,26,11,90.90%,90.90%,7.59,B (3.00),B (3.06)
"Goldrath, Ananda",BICD 140 - Immunology (A),WI17,125,63,87.10%,93.50%,7.77,B (3.05),B- (2.92)
"Xu, Yang",BICD 194 - Adv Topics-Cellular Dev (A),WI17,22,9,88.90%,88.90%,3.61,B+ (3.44),B+ (3.32)
"Stockwell, Sarah R",BIEB 123 - Molculr Mthd/Evol & Ecol Lab (A),WI17,23,20,100.00%,100.00%,3.66,B+ (3.53),A- (3.71)
"Holway, David A.",BIEB 128 - Insect Diversity (A),WI17,96,52,98.00%,96.10%,4.34,B+ (3.31),B- (2.93)
"Chao, Lin",BIEB 150 - Evolution (A),WI17,179,89,84.30%,83.10%,3.93,B (3.18),B (3.00)
"Nieh, James Charles",BIEB 166 - Animal Behavior&Communication (A),WI17,216,122,98.30%,98.30%,5.62,B+ (3.34),C+ (2.59)
