Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Tauber, Michael",CHEM 100A - Analytical Chemistry Lab (A),WI17,86,48,46.70%,48.90%,9.3,B (3.02),B- (2.92)
"Pomeroy, Robert S.",CHEM 100B - Instrumental Chemistry Lab (A),WI17,20,4,100.00%,100.00%,11,B+ (3.67),C+ (2.62)
"Crowell, John E",CHEM 105A - Physical Chemistry Laboratory (A),WI17,33,14,58.30%,83.30%,9.83,B- (2.92),B- (2.94)
"Crowell, John E",No CAPEs submitted,WI17,2,0,N/A,N/A,N/A,N/A,N/A
"Johnson, Christina A",CHEM 109 - Recombinant DNA Laboratory (A),WI17,37,14,83.30%,91.70%,10.83,C+ (2.58),B+ (3.31)
"Johnson, Christina A",CHEM 109 - Recombinant DNA Laboratory (B),WI17,20,10,77.80%,100.00%,10.72,B (3.22),B+ (3.31)
"Muller, Ulrich K.",CHEM 114A - Biochemical Structure&Function (A),WI17,107,39,92.30%,84.60%,6.18,B (3.19),C+ (2.49)
"Komives, Elizabeth A",CHEM 114B - Biochem Energetics&Metabolism (A),WI17,154,56,96.30%,100.00%,7.82,B (3.21),B (3.15)
"Devaraj, Neal Krishna",CHEM 116 - Chemical Biology (B),WI17,8,3,66.70%,100.00%,5.17,C+ (2.67),N/A
"Amaro, Rommie E",CHEM 118 - Pharmacology and Toxicology (A),WI17,178,64,98.40%,98.40%,5.21,B+ (3.56),B+ (3.49)
"Hoeger, Carl",CHEM 12 - Molecules and Reactions (A),WI17,84,39,82.10%,89.70%,5.24,B (3.00),B+ (3.34)
"Figueroa, Joshua",CHEM 120A - Inorganic Chemistry I (A),WI17,97,38,86.50%,94.60%,7.61,B (3.24),C+ (2.61)
"Sailor, Michael Joseph",CHEM 120B - Inorganic Chemistry II (A),WI17,79,42,97.60%,97.60%,6.45,B+ (3.44),B (3.09)
"Xiong, Wei",CHEM 126 - Physical Chem: Quantum Mech (A),WI17,153,55,38.00%,58.00%,8.5,B- (2.94),B- (2.88)
"Weare, John H.",CHEM 131 - Chem Physics: Stat Thermo I (A),WI17,63,30,37.90%,10.30%,8.98,C+ (2.59),B (3.08)
"Bertrand, Guy",CHEM 140A - Organic Chemistry I (A),WI17,365,194,96.80%,97.80%,6.51,B+ (3.41),B- (2.83)
"Gianneschi, Nathan",CHEM 140A - Organic Chemistry I (B),WI17,263,123,73.90%,71.30%,8.52,B- (2.84),C+ (2.60)
"Albizati, Kim F.",CHEM 140B - Organic Chemistry II (A),WI17,404,184,84.50%,92.00%,8.38,B (3.05),B- (2.77)
"Ternansky, Robert J.",CHEM 140B - Organic Chemistry II (B),WI17,128,68,92.60%,94.10%,9.31,B- (2.88),C+ (2.67)
"Hoeger, Carl",CHEM 140B - Organic Chemistry II (C),WI17,201,99,81.90%,93.60%,9.73,B (3.02),B- (2.86)
"Albizati, Kim F.",CHEM 140B - Organic Chemistry II (D),WI17,221,89,80.50%,90.20%,9.53,B (3.03),B- (2.77)
"Weizman, Haim",CHEM 140BH - Honors Organic Chemistry (A),WI17,76,35,92.30%,92.30%,7.35,B+ (3.65),B+ (3.65)
"Godula, Kamil",CHEM 140C - Organic Chemistry III (A),WI17,203,193,85.50%,87.60%,7.36,B- (2.96),C+ (2.47)
"Weizman, Haim",CHEM 143A - Organic Chemistry Laboratory (A),WI17,449,200,78.10%,82.00%,6.88,B (3.20),B- (2.98)
"Ternansky, Robert J.",CHEM 143B - Organic Chemistry Laboratory (A),WI17,74,35,76.50%,91.20%,7.62,B (3.15),B+ (3.32)
"Burkart, Michael D",CHEM 145 - Biofuels (A),WI17,11,9,100.00%,100.00%,3.61,B+ (3.67),N/A
"Schmidt, Valerie A",CHEM 155 - Synthesis of Complex Molecules (A),WI17,8,5,80.00%,80.00%,3.7,B+ (3.60),N/A
