Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Boyle, Mary E. T.",COGS 1 - Introduction to Cognitive Sci (A),WI17,370,173,85.50%,57.20%,5.07,B (3.12),B (3.11)
"Kirsh, David Joel",COGS 100 - Cyborgs Now and in the Future (A),WI17,97,47,46.50%,55.80%,4.55,B (3.28),B (3.23)
"Walker, Esther Jane",COGS 101A - Sensation and Perception (A),WI17,90,39,97.30%,100.00%,5.47,B+ (3.67),B (3.24)
"Barrera, Steven James","COGS 101B - Learning, Memory and Attention (A)",WI17,368,197,95.70%,99.50%,5.09,B+ (3.52),B (3.29)
"Johnson, Christine M.",COGS 102B - Cognitive Ethnography (A),WI17,108,42,43.60%,43.60%,6.04,A- (3.72),B+ (3.69)
"Nitz, Douglas A.",COGS 107B - Systems Neuroscience (B),WI17,288,111,83.00%,77.40%,5.52,B (3.22),B- (2.92)
"Boroditsky, Lera",COGS 11 - Minds & Brains (A),WI17,160,58,98.10%,100.00%,4.42,B+ (3.53),B (3.14)
"Deak, Gedeon O.",COGS 110 - The Developing Mind (A),WI17,44,11,70.00%,60.00%,7.3,B (3.10),B- (2.91)
"Yu, Angela J.",COGS 118D - Stats/Behavioral Data Analysis (A),WI17,13,13,76.90%,84.60%,10.04,A- (3.75),N/A
"Boroditsky, Lera","COGS 12 - Language, Culture & Cognition (A)",WI17,42,16,92.30%,100.00%,2.81,A- (3.77),B+ (3.52)
"Klemmer, Scott R",COGS 120 - Interaction Design (A),WI17,107,35,89.70%,93.10%,10.5,B (3.28),B (3.25)
"Barrera, Steven James",COGS 14A - Intro. to Research Methods (A),WI17,276,155,94.70%,99.30%,4.24,B+ (3.59),B+ (3.31)
"Nunez, Rafael E",COGS 14B - Intro. to Statistical Analysis (A),WI17,76,26,69.20%,84.60%,4.65,B (3.16),B- (2.73)
"Coulson, Seana M",COGS 151 - Analogy and Conceptual Systems (A),WI17,25,7,85.70%,100.00%,4.21,B (3.29),B (3.08)
"Nunez, Rafael E",COGS 155 - Gesture and Cognition (A),WI17,33,10,87.50%,62.50%,5.07,B (3.00),B- (2.85)
"Creel, Sarah",COGS 157 - Music and the Mind (A),WI17,17,9,77.80%,100.00%,3.83,B+ (3.44),N/A
"Coulson, Seana M",COGS 160 - Seminar on Special Topics (A),WI17,4,3,100.00%,100.00%,4.5,A (4.00),N/A
"Deak, Gedeon O.",No CAPEs submitted,WI17,5,0,N/A,N/A,N/A,N/A,N/A
"Dow, Steven P",COGS 160 - Seminar on Special Topics (C),WI17,52,33,96.90%,90.60%,5.27,B+ (3.48),B+ (3.51)
"Greenspan, Ralph J.",COGS 169 - Genetic Information/Behavior (A),WI17,16,5,100.00%,100.00%,4.5,B (3.25),N/A
"Johnson, Christine M.",COGS 17 - Neurobiology of Cognition (A),WI17,190,89,90.50%,92.90%,6.28,B (3.16),B (3.02)
"Saygin, Ayse P",COGS 172 - Brain Disorders and Cognition (A),WI17,63,31,80.00%,46.70%,4.64,B (3.27),B (3.22)
"Nitz, Douglas A.",COGS 177 - Space and Time in the Brain (A),WI17,21,10,100.00%,90.00%,4.5,A- (3.70),A- (3.92)
"Tu, Zhuowen",COGS 181 - Neural Networks/Deep Learning (A),WI17,74,31,96.70%,90.00%,8.1,B+ (3.63),B+ (3.65)
"Kirsh, David Joel",COGS 187B - Practicum in Pro Web Design (A),WI17,61,22,100.00%,95.00%,5.8,A- (3.79),A- (3.75)
"De Sa, Virginia",COGS 189 - Brain Computer Interfaces (A),WI17,26,9,100.00%,100.00%,5.5,A- (3.89),A- (3.98)
"Kernell, Samuel H.",No CAPEs submitted,WI17,1,0,N/A,N/A,N/A,N/A,N/A
"Boyle, Mary E. T.",COGS 3 - An Introduction to Computing (A),WI17,95,32,93.10%,82.80%,5.91,B+ (3.58),A- (3.81)
"Deak, Gedeon O.",COGS 87 - Freshman Seminar (A),WI17,14,10,80.00%,100.00%,0.72,A (4.00),N/A
"Pineda, Jaime A",COGS 87 - Freshman Seminar (B),WI17,16,11,100.00%,100.00%,2.5,A (4.00),N/A
"Hollan, James D.",DSGN 1 - Design of Everyday Things (A),WI17,120,49,78.30%,89.10%,5.12,A- (3.79),B+ (3.35)
"Hollan, James D.",DSGN 119 - Design at Large (A),WI17,26,13,90.00%,90.00%,0.5,A (4.00),N/A
"Voytek, Bradley Thomas",COGS 1 - Introduction to Cognitive Sci (A),FA16,483,243,93.80%,95.60%,2.91,B+ (3.65),B+ (3.33)
"Barrera, Steven James",COGS 101A - Sensation and Perception (A),FA16,410,234,97.40%,99.60%,5.4,B+ (3.38),B (3.04)
"Boyle, Mary E. T.",COGS 107A - Neuroanatomy and Physiology (B),FA16,304,160,83.00%,58.80%,9.49,B (3.09),B (3.19)
"Olson, Jacob Michael",COGS 109 - Modeling & Data Analysis (A),FA16,152,115,74.60%,78.90%,6.54,B (3.08),B (3.13)
"Boyle, Mary E. T.",COGS 11 - Minds & Brains (A),FA16,59,26,100.00%,95.70%,5.46,B+ (3.65),A- (3.91)
"De Sa, Virginia",COGS 118B - Natural Computation II (A),FA16,55,19,94.40%,100.00%,6.5,B+ (3.53),A- (3.87)
"Saygin, Ayse P",COGS 119 - Programming/Experimental Res. (A),FA16,16,11,90.90%,27.30%,6.68,A- (3.73),N/A
"Guo, Philip J",COGS 120 - Interaction Design (A),FA16,135,77,94.50%,93.20%,9.4,B+ (3.63),A- (3.77)
"Rossano, Federico",COGS 14A - Intro. to Research Methods (A),FA16,196,154,84.10%,92.70%,4.02,B+ (3.35),B (3.05)
"Walker, Esther Jane",COGS 14B - Intro. to Statistical Analysis (A),FA16,116,49,91.70%,97.90%,4.21,B+ (3.64),B (3.13)
"Bergen, Benjamin",COGS 15 - Uncensored Intro. to Language (A),FA16,74,38,92.10%,94.70%,2.28,B+ (3.49),B (3.24)
"Yang, Dorothy Daw-Shin",COGS 154 - Comm Disorders/Children&Adults (A),FA16,68,34,97.10%,100.00%,3.83,B+ (3.39),B (3.03)
"Creel, Sarah",COGS 156 - Language Development (B),FA16,23,7,100.00%,100.00%,3.93,A- (3.71),B+ (3.36)
"Deak, Gedeon O.",COGS 160 - Seminar on Special Topics (A),FA16,8,4,100.00%,100.00%,7.17,A (4.00),N/A
"Johnson, Christine M.",COGS 17 - Neurobiology of Cognition (A),FA16,140,74,95.70%,95.70%,5.57,B+ (3.49),B (3.28)
"Pineda, Jaime A","COGS 174 - Drugs: Brain, Mind and Culture (A)",FA16,104,46,100.00%,97.60%,5.05,B (3.15),B (3.18)
"Pineda, Jaime A",COGS 175 - Alternate States/Consciousness (A),FA16,43,19,94.10%,100.00%,5.32,B (3.12),B (3.19)
"Coulson, Seana M",COGS 179 - Electrophysiology of Cognition (A),FA16,19,11,63.60%,63.60%,5.95,B (3.20),N/A
"Kirsh, David Joel",COGS 187A - Usability & Info. Architecture (A),FA16,104,62,91.80%,86.90%,7.93,A- (3.75),A- (3.71)
"Tibbles, Richard",COGS 8 - Hands-On Computing (A),FA16,33,18,88.90%,100.00%,3.72,B+ (3.63),A- (3.71)
"Deak, Gedeon O.",COGS 87 - Freshman Seminar (A),FA16,15,10,100.00%,100.00%,0.75,A (4.00),N/A
"Voytek, Bradley Thomas",COGS 9 - Introduction to Data Science (A),FA16,245,128,88.30%,96.60%,2.35,A- (3.84),A- (3.92)
"Walker, Esther Jane","COGS 101B - Learning, Memory and Attention (A)",S216,30,13,92.30%,92.30%,6.96,B+ (3.46),B (3.19)
"Johnson, Christine M.",COGS 102A - Distributed Cognition (A),S216,64,15,75.00%,100.00%,4.5,B (3.25),B (3.26)
"Olson, Jacob Michael",COGS 109 - Modeling & Data Analysis (A),S216,82,30,89.30%,92.90%,8.65,B+ (3.40),B (3.20)
"Yang, Dorothy Daw-Shin",COGS 154 - Comm Disorders/Children&Adults (A),S216,28,6,100.00%,100.00%,6.17,B+ (3.60),B (3.19)
"Frye, Conor Iain",COGS 157 - Music and the Mind (A),S216,11,6,100.00%,100.00%,6.1,B (3.20),N/A
"Datko, Michael","COGS 174 - Drugs: Brain, Mind and Culture (A)",S216,50,45,95.60%,93.30%,5.12,B+ (3.32),B (3.09)
"Boyle, Mary E. T.",COGS 187A - Usability & Info. Architecture (A),S216,71,15,76.90%,76.90%,7.42,A- (3.75),A- (3.77)
"Gupta, Anjum",COGS 188 - AI Algorithm & Social Language (A),S216,26,20,90.00%,100.00%,6.1,B+ (3.35),B- (2.97)
"Boyle, Mary E. T.",COGS 3 - An Introduction to Computing (A),S216,17,4,100.00%,100.00%,5.83,B (3.00),N/A
"Boyle, Mary E. T.",COGS 107A - Neuroanatomy and Physiology (A),S116,72,24,91.30%,69.60%,13.89,B (3.00),B- (3.00)
"Boyle, Mary E. T.",COGS 11 - Minds & Brains (A),S116,23,7,85.70%,85.70%,5.64,B+ (3.40),A (4.00)
"Gonzalez, Marybel Robledo",COGS 115 - Neurologcl Devlp & Cogntv Chng (A),S116,17,7,100.00%,100.00%,6.21,B+ (3.50),N/A
"Johnson, Christine M.",COGS 17 - Neurobiology of Cognition (A),S116,25,13,100.00%,100.00%,5.61,B+ (3.43),B+ (3.57)
"Pineda, Jaime A",COGS 171GS - Mirror Neuron System (A),S116,27,6,83.30%,83.30%,6.83,B+ (3.67),B+ (3.70)
"Pineda, Jaime A","COGS 174GS - Drugs: Brain, Mind and Culture (A)",S116,27,6,100.00%,83.30%,6.17,B+ (3.67),A- (3.76)
"Barrera, Steven James",COGS 1 - Introduction to Cognitive Sci (A),SP16,348,142,95.50%,99.20%,4.03,B+ (3.65),B+ (3.33)
"Bergen, Benjamin",COGS 101C - Language (A),SP16,241,94,84.60%,85.70%,4.43,B (3.25),B- (2.83)
"Renner, Nancy Owens",COGS 102C - Cognitive Design Studio (A),SP16,154,44,97.60%,90.50%,6.64,A- (3.88),B+ (3.50)
"Chukoskie, Leanne",COGS 107C - Cognitive Neuroscience (A),SP16,184,63,70.00%,60.00%,4.5,B (3.19),B- (2.99)
"Weibel, Nadir",COGS 121 - Human Comptr Interac Prog Stud (A),SP16,73,20,64.70%,41.20%,10.03,B (3.29),B+ (3.48)
"Johnson, Christine M.",COGS 143 - Animal Cognition (A),SP16,38,14,100.00%,92.30%,5.41,B (3.10),B (3.09)
"Creel, Sarah",COGS 14A - Intro. to Research Methods (A),SP16,137,53,77.60%,73.50%,3.63,B+ (3.49),B (3.03)
"Nunez, Rafael E",COGS 14B - Intro. to Statistical Analysis (A),SP16,97,37,66.70%,72.20%,4.44,B (3.28),B- (2.73)
"Yang, Dorothy Daw-Shin",COGS 154 - Comm Disorders/Children&Adults (A),SP16,112,45,100.00%,93.00%,4.13,B+ (3.31),B (3.09)
"Creel, Sarah",COGS 156 - Language Development (A),SP16,64,23,76.20%,76.20%,4.88,B+ (3.35),B (3.20)
"Coulson, Seana M",COGS 160 - Seminar on Special Topics (A),SP16,2,1,100.00%,100.00%,2.5,A (4.00),N/A
"Deak, Gedeon O.",COGS 160 - Seminar on Special Topics (B),SP16,7,5,75.00%,100.00%,8,A (4.00),N/A
"Mukamel, Eran A",COGS 160 - Seminar on Special Topics (C),SP16,10,8,100.00%,100.00%,4.21,A- (3.88),N/A
"Rossano, Federico",COGS 160 - Seminar on Special Topics (D),SP16,11,7,100.00%,100.00%,3.07,B+ (3.67),N/A
"Dow, Steven P",COGS 160 - Seminar on Special Topics (E),SP16,29,12,100.00%,100.00%,9.23,A- (3.92),B+ (3.44)
"Dow, Steven P",COGS 160 - Seminar on Special Topics (F),SP16,25,10,100.00%,100.00%,6.1,B+ (3.67),B+ (3.44)
"Boyle, Mary E. T.",COGS 163 - Metabolic Disorders/Brain (A),SP16,41,17,87.50%,75.00%,7.25,B+ (3.69),A- (3.76)
"Johnson, Christine M.",COGS 17 - Neurobiology of Cognition (A),SP16,117,46,86.40%,93.20%,5.36,B (3.13),B- (2.73)
"Yu, Angela J.",COGS 180 - Neural Coding/Sensory Systems (B),SP16,8,7,85.70%,85.70%,8.21,B (3.29),N/A
"Tu, Zhuowen",COGS 185 - Adv. Machine Learning Methods (A),SP16,42,18,100.00%,100.00%,8.5,A (4.00),A- (3.77)
"Kernell, Samuel H.",No CAPEs submitted,SP16,1,0,N/A,N/A,N/A,N/A,N/A
"Boyle, Mary E. T.",COGS 3 - An Introduction to Computing (A),SP16,81,35,80.00%,74.30%,6.96,B+ (3.48),B+ (3.56)
"Pineda, Jaime A",COGS 87 - Freshman Seminar (A),SP16,17,10,100.00%,80.00%,0.5,N/A,N/A
"Deak, Gedeon O.",COGS 87 - Freshman Seminar (B),SP16,5,3,100.00%,100.00%,1.17,N/A,N/A
"Voytek, Bradley Thomas",COGS 9 - Introduction to Data Science (A),SP16,99,38,97.20%,97.20%,2.06,A- (3.94),A- (3.92)
"Klemmer, Scott R",No CAPEs submitted,SP16,13,0,N/A,N/A,N/A,N/A,N/A
"Boyle, Mary E. T.",COGS 1 - Introduction to Cognitive Sci (A),WI16,236,147,79.70%,60.90%,5.22,B- (2.85),B- (2.74)
"Barrera, Steven James","COGS 101B - Learning, Memory and Attention (A)",WI16,309,180,97.10%,98.90%,4.35,B+ (3.54),B (3.23)
"Renner, Nancy Owens",COGS 102B - Cognitive Ethnography (A),WI16,222,114,70.90%,88.20%,4.39,A- (3.81),B+ (3.59)
"Alexander, Andrew Spencer",COGS 107B - Systems Neuroscience (A),WI16,220,178,92.10%,91.50%,5.38,B (3.26),B (3.01)
"Boroditsky, Lera",COGS 11 - Minds & Brains (A),WI16,74,38,97.20%,94.40%,4.67,B (3.28),B (3.16)
"Blumenthal, Emily Jeanne",COGS 110 - The Developing Mind (A),WI16,70,60,93.30%,91.70%,3.75,B+ (3.35),B (3.11)
"Tu, Zhuowen",COGS 118A - Natural Computation I (A),WI16,74,38,97.20%,86.10%,8.56,B+ (3.48),B+ (3.67)
"Saygin, Ayse P",COGS 119 - Programming/Experimental Res. (A),WI16,9,6,80.00%,100.00%,8.5,B+ (3.60),N/A
"Klemmer, Scott R",COGS 120 - Interaction Design (A),WI16,112,48,90.50%,92.90%,9.96,B+ (3.59),B+ (3.58)
"Rossano, Federico",COGS 14A - Intro. to Research Methods (A),WI16,166,120,79.70%,91.50%,3.54,B+ (3.35),B (3.03)
"Nunez, Rafael E",COGS 14B - Intro. to Statistical Analysis (A),WI16,127,65,80.30%,62.30%,4.03,B (3.08),C+ (2.45)
"Coulson, Seana M",COGS 151 - Analogy and Conceptual Systems (A),WI16,10,6,83.30%,100.00%,6.83,A- (3.83),N/A
"Nunez, Rafael E",COGS 152 - Cognitive Foundations of Math (A),WI16,17,7,100.00%,100.00%,4.79,C+ (2.60),N/A
"Bergen, Benjamin",COGS 153 - Language Comprehension (A),WI16,26,14,92.30%,100.00%,4.96,B+ (3.62),A- (3.76)
"Bergen, Benjamin",COGS 160 - Seminar on Special Topics (A),WI16,4,1,100.00%,100.00%,2.5,A (4.00),N/A
"Deak, Gedeon O.",COGS 160 - Seminar on Special Topics (B),WI16,11,5,80.00%,100.00%,8.9,A (4.00),N/A
"Johnson, Christine M.",COGS 17 - Neurobiology of Cognition (A),WI16,142,71,82.60%,92.80%,5.75,B (3.18),B (3.02)
"Pineda, Jaime A","COGS 174 - Drugs: Brain, Mind and Culture (A)",WI16,98,39,89.20%,86.50%,5.42,B (3.18),B- (2.97)
"Johnson, Christine M.",COGS 184 - Modeling/Evolution of Cognitn (A),WI16,10,3,100.00%,100.00%,13.17,B+ (3.50),N/A
"Kirsh, David Joel",COGS 187A - Usability & Info. Architecture (A),WI16,77,28,80.00%,88.00%,8.59,A- (3.78),A- (3.80)
"Kirsh, David Joel",COGS 187B - Practicum in Pro Web Design (A),WI16,37,16,100.00%,81.30%,9.13,B+ (3.69),B+ (3.63)
"De Sa, Virginia",COGS 189 - Brain Computer Interfaces (A),WI16,15,5,100.00%,100.00%,6.9,A- (3.75),N/A
"Kernell, Samuel H.",No CAPEs submitted,WI16,1,0,N/A,N/A,N/A,N/A,N/A
"Boyle, Mary E. T.",COGS 3 - An Introduction to Computing (A),WI16,87,36,73.50%,91.20%,8.74,B+ (3.30),B+ (3.67)
"Tibbles, Richard",COGS 8 - Hands-On Computing (A),WI16,25,18,100.00%,100.00%,2.75,B+ (3.53),B+ (3.68)
"Deak, Gedeon O.",COGS 87 - Freshman Seminar (A),WI16,13,9,100.00%,100.00%,0.72,N/A,N/A
"Pineda, Jaime A",COGS 87 - Freshman Seminar (B),WI16,31,24,100.00%,100.00%,1.02,A- (3.83),N/A
