Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Alvarado, Christine J.",CSE 100 - Advanced Data Structures (A),WI17,224,186,95.70%,97.80%,11.7,B+ (3.44),B- (2.86)
"Alvarado, Christine J.",CSE 100 - Advanced Data Structures (B),WI17,225,199,94.40%,96.00%,13.13,B (3.29),B- (2.86)
"Jones, Miles E",CSE 101 - Design & Analysis of Algorithm (A),WI17,165,76,95.60%,92.60%,6.44,B+ (3.48),B+ (3.49)
"Jones, Miles E",CSE 101 - Design & Analysis of Algorithm (B),WI17,186,80,94.70%,96.00%,6.36,B+ (3.49),B+ (3.49)
"Tiefenbruck, Janine LoBue",CSE 105 - Intro/Theory of Computation (A),WI17,140,118,93.20%,97.50%,8.31,B (3.20),B- (2.84)
"Tiefenbruck, Janine LoBue",CSE 105 - Intro/Theory of Computation (B),WI17,242,206,88.80%,97.60%,8.31,B (3.19),B- (2.84)
"Bellare, Mihir",CSE 107 - Intro to Modern Cryptography (A),WI17,51,19,100.00%,100.00%,7.87,B+ (3.32),B+ (3.33)
"Papadopoulos, Philip Micha",CSE 11 - Intr/Computer Sci&Obj-Ori:Java (A),WI17,118,42,87.50%,80.00%,10.65,B (3.26),B- (2.80)
"Politz, Joseph Gibbs",CSE 11 - Intr/Computer Sci&Obj-Ori:Java (B),WI17,117,50,81.30%,93.80%,10.75,B+ (3.38),B- (2.71)
"Politz, Joseph Gibbs",CSE 11 - Intr/Computer Sci&Obj-Ori:Java (C),WI17,92,48,87.20%,100.00%,11.82,B (3.09),B- (2.71)
"Gillespie, Gary N",CSE 110 - Software Engineering (A),WI17,388,175,84.00%,59.50%,10.02,B+ (3.47),B (3.19)
"Langlois, Marina",CSE 12 - Basic Data Struct & OO Design (A),WI17,149,72,97.00%,95.50%,11.91,B+ (3.56),B- (2.97)
"Langlois, Marina",CSE 12 - Basic Data Struct & OO Design (B),WI17,155,68,96.60%,94.90%,10.87,B+ (3.50),B- (2.97)
"Langlois, Marina",CSE 12 - Basic Data Struct & OO Design (C),WI17,149,77,95.80%,94.40%,10.64,B+ (3.56),B- (2.97)
"Pasquale, Joseph",CSE 120 - Princ/Computer Operating Systm (A),WI17,175,58,90.20%,94.10%,11.05,B (3.24),B- (2.97)
"Pasquale, Joseph",CSE 120 - Princ/Computer Operating Systm (B),WI17,164,66,96.80%,96.80%,10.73,B (3.09),B- (2.97)
"Snoeren, Alex C.",CSE 123 - Computer Networks (A),WI17,97,35,93.80%,100.00%,9.21,B+ (3.30),B (3.23)
"Porter, George M",CSE 124 - Networked Services (A),WI17,173,50,100.00%,97.90%,7.61,B+ (3.53),B+ (3.49)
