Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Santamaria, Martin I",ECON 1 - Principles of Microeconomics (A),WI17,121,50,93.30%,97.80%,4.87,B+ (3.59),B (3.07)
"Santamaria, Martin I",ECON 1 - Principles of Microeconomics (B),WI17,171,79,96.00%,96.00%,4.36,B+ (3.55),B (3.07)
"Sher, Itai",ECON 1 - Principles of Microeconomics (C),WI17,129,69,88.10%,89.60%,4.23,B+ (3.42),B (3.07)
"Sher, Itai",ECON 1 - Principles of Microeconomics (D),WI17,32,19,94.40%,72.20%,4.72,B+ (3.56),B (3.07)
"Famulari, Melissa",ECON 100A - Microeconomics A (A),WI17,221,101,86.00%,84.90%,8.1,B (3.20),B- (2.79)
"Famulari, Melissa",ECON 100A - Microeconomics A (B),WI17,217,121,86.00%,87.90%,7.32,B (3.26),B- (2.79)
"Sinitsyn, Maxim",ECON 100A - Microeconomics A (C),WI17,96,59,87.70%,80.70%,7.06,B (3.18),C+ (2.70)
"Galperti, Simone",ECON 100B - Microeconomics B (A),WI17,203,63,84.20%,77.20%,6.04,B (3.14),B- (2.84)
"Galperti, Simone",ECON 100B - Microeconomics B (B),WI17,100,30,89.30%,85.70%,5.24,B+ (3.37),B- (2.84)
"Machina, Mark Joseph",ECON 100BH - Honors Microeconomics B (A),WI17,16,5,100.00%,100.00%,3.3,A (4.00),N/A
"Sinitsyn, Maxim",ECON 100C - Microeconomics C (A),WI17,154,85,95.20%,88.10%,5.39,B+ (3.33),C+ (2.67)
"Levkoff, Steven B.",ECON 100C - Microeconomics C (B),WI17,183,110,94.40%,98.10%,6.6,B+ (3.32),B- (2.89)
"Rauch, James E",ECON 101 - International Trade (A),WI17,75,42,88.10%,85.70%,6.21,B (3.20),B- (2.91)
"Watson, Joel Christopher",ECON 109 - Game Theory (A),WI17,169,45,81.40%,81.40%,5.57,B (3.22),B- (2.97)
"Watson, Joel Christopher",ECON 109T - Advanced Topics in Game Theory (A),WI17,11,5,100.00%,100.00%,4.5,A (4.00),N/A
"Candido, Maria Teresa",ECON 110A - Macroeconomics A (A),WI17,131,47,100.00%,90.90%,6.92,B+ (3.50),B- (2.87)
"Candido, Maria Teresa",ECON 110A - Macroeconomics A (B),WI17,132,37,84.80%,81.80%,6.18,B+ (3.45),B- (2.87)
"Porzio, Tommaso",ECON 110A - Macroeconomics A (C),WI17,88,42,95.10%,78.00%,6.3,B+ (3.43),B- (2.98)
"Porzio, Tommaso",ECON 110AH - Honors Macroeconomics A (A),WI17,14,9,88.90%,100.00%,2,A- (3.89),N/A
"Hamilton, James D.",ECON 110B - Macroeconomics B (A),WI17,183,73,100.00%,100.00%,4.91,B+ (3.55),B- (2.77)
"Hamilton, James D.",ECON 110B - Macroeconomics B (B),WI17,147,49,91.10%,86.70%,6.01,B+ (3.51),B- (2.77)
"Hamilton, James D.",ECON 110BH - Honors Macroeconomics B (A),WI17,17,7,100.00%,100.00%,1.93,A (4.00),N/A
"Elliott, Graham",ECON 120A - Econometrics A (A),WI17,228,69,89.70%,88.20%,6.02,B+ (3.63),B- (2.97)
"Elliott, Graham",ECON 120A - Econometrics A (B),WI17,187,79,92.10%,89.50%,6.31,B+ (3.33),B- (2.97)
"Dahl, Gordon B.",ECON 120B - Econometrics B (A),WI17,116,48,91.10%,91.10%,5.94,B+ (3.38),C+ (2.69)
"Dahl, Gordon B.",ECON 120B - Econometrics B (B),WI17,226,92,87.80%,86.60%,6.63,B (3.18),C+ (2.69)
"Dahl, Gordon B.",ECON 120BH - Honors Econometrics B (A),WI17,11,5,100.00%,100.00%,3.7,A (4.00),N/A
"Candido, Maria Teresa",ECON 120C - Econometrics C (A),WI17,132,38,84.20%,92.10%,5.58,B (3.16),B- (2.85)
"O, Mun Pyung",ECON 120C - Econometrics C (B),WI17,39,12,83.30%,100.00%,5.23,B (3.17),B- (2.76)
"O, Mun Pyung",ECON 120C - Econometrics C (C),WI17,68,31,83.90%,87.10%,6.11,B (3.19),B- (2.76)
"Andreoni, James",ECON 143 - Experimental Economics (A),WI17,47,11,90.00%,80.00%,5.1,B+ (3.60),B+ (3.50)
"Squires, Dale E",ECON 145 - Economics of Ocean Resources (A),WI17,254,77,89.20%,90.50%,5.71,B+ (3.43),B (3.02)
"Cohen, Darrel Steven",ECON 146 - Economic Stabilization (A),WI17,134,32,96.70%,93.30%,5.19,B+ (3.43),B- (2.91)
"Cullen, Julie",ECON 151 - Public Economics:Expenditure I (A),WI17,50,23,95.50%,95.50%,5.36,B (3.24),B- (2.85)
"Muralidharan, Karthik",ECON 164 - The Indian Economy (A),WI17,55,16,93.30%,93.30%,6.1,B (3.15),B- (2.83)
"Rauch, James E",ECON 165 - Middle East Economics (A),WI17,136,79,88.30%,90.90%,4.97,B+ (3.35),B- (2.99)
