Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Rosenfeld, Susan Alexandra",HIAF 112 - West Africa Since 1880 (A),WI17,27,12,100.00%,100.00%,3.59,B+ (3.50),A- (3.75)
"Matsumura, Wendy Y",HIEA 112 - Japan:Mid-19th C.-US Occupatn (A),WI17,75,30,100.00%,93.10%,5.29,B+ (3.30),B (3.16)
"Schneewind, Sarah",HIEA 124 - Life in Ming China (1368-1644) (A),WI17,21,11,80.00%,90.00%,8.5,B+ (3.38),B (3.15)
"Lu, Weijing",HIEA 137 - Women & Family/Chinese History (A),WI17,47,24,87.50%,83.30%,5.17,B+ (3.35),B- (2.94)
"Henry, Todd A.",HIEA 153 - Social&Cultural Hist/20c Korea (A),WI17,52,40,82.50%,87.50%,5.97,B (3.13),B (3.22)
"Watts, Edward J.",HIEU 102 - Roman History (A),WI17,110,38,97.30%,86.50%,4.61,B (3.29),B (3.30)
"Caciola, Nancy A",HIEU 107 - PaganEurope&ChristianAftermath (A),WI17,30,14,100.00%,100.00%,2.35,A- (3.73),B+ (3.42)
"Demetriou, Denise",HIEU 122 - Ancient Greece 1600-400 BC (A),WI17,30,11,72.70%,72.70%,8.5,B+ (3.30),B (3.15)
"Edelman, Robert S.",HIEU 127 - Sport in the Modern World (A),WI17,53,18,66.70%,66.70%,2.93,B+ (3.36),B+ (3.44)
"Frolich, Margrit Luise",HIEU 143 - Europn Intellct Hst(1870-1945) (A),WI17,48,19,88.90%,83.30%,5.28,B+ (3.69),B+ (3.30)
"Hertz, Deborah",HIEU 158 - Why Hitler? How Auschwitz? (B),WI17,83,72,90.30%,86.10%,4.39,B+ (3.45),B+ (3.49)
"Frolich, Margrit Luise",HIEU 171 - Topic/Twentieth Century Europe (A),WI17,9,1,0.00%,0.00%,0,N/A,N/A
"Radcliff, Pamela B.",HIEU 172 - Comparative European Fascism (A),WI17,8,6,100.00%,83.30%,12.17,B+ (3.50),N/A
"Hunefeldt, Christine",HILA 101 - Lat Amer Independnce 1810-1898 (A),WI17,10,2,100.00%,100.00%,6.5,B+ (3.50),N/A
"Graham, Jessica Lynn",HILA 121A - History of Brazil through 1889 (A),WI17,38,15,100.00%,100.00%,4.36,B+ (3.57),B+ (3.65)
"Vitz, Matthew",HILA 132 - Modern Mexico (A),WI17,102,47,100.00%,100.00%,4.14,B+ (3.59),B (3.23)
