Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Miller, David R.",MAE 101A - Introductory Fluid Mechanics (A),WI17,185,70,98.50%,95.50%,8.5,B+ (3.61),B (3.11)
"Llewellyn Smith, Stefan G.",MAE 101B - Advanced Fluid Mechanics (A),WI17,54,22,90.50%,90.50%,7.2,B+ (3.38),B- (2.90)
"Nomura, Keiko K.",MAE 110A - Thermodynamics (A),WI17,160,70,92.60%,86.80%,9.53,B (3.20),B- (2.82)
"Sanchez, Antonio Luis",MAE 113 - Fundamentals of Propulsion (A),WI17,77,24,91.30%,82.60%,7.72,B (3.27),B (3.30)
"Krasheninnikov, Sergei",MAE 118 - Intro to Energy & Environment (A),WI17,139,55,84.30%,84.30%,3.15,A- (3.70),B+ (3.32)
"Tynan, George Robert",MAE 119 - Intro Renew Energ/Solar & Wind (A),WI17,105,31,75.90%,75.90%,5.04,B (3.08),B (3.15)
"Kleissl, Jan",MAE 123 - Intro/Transprt in Porous Media (A),WI17,69,22,100.00%,100.00%,4.9,B+ (3.42),B+ (3.39)
"Kleissl, Jan",MAE 126A - Environmental Enginring Lab (A),WI17,69,19,100.00%,100.00%,5.13,A- (3.94),B+ (3.57)
"Nemat-Nasser, Siavouche",MAE 130A - Mechanics I: Statics (A),WI17,293,105,98.10%,84.30%,4.12,B+ (3.69),B+ (3.53)
"Eliasson, Jenny Veronica",MAE 130B - Mechanics II: Dynamics (A),WI17,57,24,86.40%,90.90%,10.86,B (3.23),N/A
"Murakami, Hidenori",MAE 130C - Mechanics III: Vibrations (A),WI17,103,30,90.00%,80.00%,5.9,B+ (3.57),B (3.14)
"Lanza Di Scalea, Francesco",MAE 131A - Solid Mechanics I (B),WI17,54,38,89.20%,91.90%,7.74,A- (3.73),B (3.14)
"Markenscoff, Xanthippi",MAE 131B - Solid Mechanics II (A),WI17,48,16,100.00%,40.00%,6.37,B+ (3.57),B (3.25)
"Cortes, Jorge",MAE 140 - Linear Circuits (A),WI17,141,61,95.00%,93.30%,7.26,B+ (3.47),B+ (3.38)
"Anderson, Mark Ronald",MAE 142 - Dynmcs&Control/Aerospace Vehic (A),WI17,66,20,94.40%,100.00%,3.72,A- (3.72),B+ (3.54)
"Bitmead, Robert R.",MAE 143A - Signals and Systems (A),WI17,202,75,66.70%,44.40%,8.12,B (3.01),B- (2.96)
"Talke, Frank E",MAE 150 - Computer-Aided Analysis&Design (A),WI17,48,28,89.30%,89.30%,9.81,B (3.30),C+ (2.68)
"Anderson, Mark Ronald",MAE 155A - Aerospace Engineering Design I (A),WI17,58,19,100.00%,100.00%,4.61,A- (3.78),A- (3.88)
"Gravish, Nicholas G",MAE 156A - Fund. Prin./Mechanical Desgn I (A),WI17,48,19,84.20%,94.70%,13.83,B+ (3.50),B- (2.88)
"Tustaniwskyj, Jerry I",MAE 156A - Fund. Prin./Mechanical Desgn I (B),WI17,46,27,84.00%,64.00%,13.33,B+ (3.40),B- (2.98)
"Tustaniwskyj, Jerry I",MAE 156B - Fund. Prin/Mechanical Desgn II (A),WI17,16,3,100.00%,100.00%,11.83,B+ (3.67),N/A
"Graeve, Olivia A",MAE 160 - Mechanical Behavior/Materials (A),WI17,89,40,75.70%,64.90%,5.28,B+ (3.40),B (3.03)
"Lal, Ratnesh",MAE 171A - Mechanical Engineering Lab I (A),WI17,111,47,61.90%,57.10%,7.67,B+ (3.55),B+ (3.55)
"Seshadri, Kalyanasundaram",MAE 171A - Mechanical Engineering Lab I (A),WI17,111,48,60.50%,72.10%,7.79,B+ (3.59),B+ (3.55)
"de Callafon, Raymond A",MAE 175A - Aerospace Engineering Lab (A),WI17,57,13,46.20%,53.80%,8.19,B+ (3.58),B+ (3.65)
"Bandaru, Prabhakar",MAE 20 - Elements of Materials Science (A),WI17,72,25,95.70%,95.70%,5.26,B+ (3.68),B+ (3.56)
"Gibson, Carl H.",MAE 5 - Quantitative Computer Skills (A),WI17,55,21,76.50%,76.50%,3.17,B+ (3.57),A- (3.82)
"Delson, Nathan Joseph",MAE 7 - Spatial Visualization (A),WI17,12,11,100.00%,100.00%,0.86,A (4.00),N/A
