Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"McKernan, James",MATH 100B - Abstract Algebra II (A),WI17,71,24,85.70%,81.00%,8.02,B+ (3.40),C+ (2.68)
"Li, Bo",MATH 102 - Applied Linear Algebra (A),WI17,229,62,91.20%,86.00%,6.38,B+ (3.46),B- (2.88)
"Pelayo, Alvaro",MATH 103A - Modern Algebra I (A),WI17,64,40,94.60%,97.30%,6.44,B- (2.97),B- (2.76)
"Zelmanov, Efim I",MATH 103B - Modern Algebra II (A),WI17,107,40,84.20%,76.30%,5.45,B (3.00),B (3.05)
"Popescu, Cristian D.",MATH 104B - Number Theory II (A),WI17,17,10,100.00%,100.00%,9.83,B (3.29),N/A
"Popescu, Cristian D.",MATH 109 - Mathematical Reasoning (A),WI17,102,44,68.30%,92.70%,8.14,B- (2.74),B- (2.74)
"Mohammadi, Amir",MATH 109 - Mathematical Reasoning (B),WI17,121,39,86.80%,92.10%,7.74,B (3.11),C+ (2.44)
"Buskin, Nikolay",MATH 109 - Mathematical Reasoning (C),WI17,114,41,83.80%,67.60%,6.5,B+ (3.49),C+ (2.45)
"Quarfoot, David James",MATH 10A - Calculus I (A),WI17,227,98,94.60%,96.80%,6.3,B- (2.90),C+ (2.55)
"Dilts, James Paul",MATH 10A - Calculus I (B),WI17,185,139,88.30%,76.60%,5.62,B- (2.92),C+ (2.67)
"Eggers, John Dietrich",MATH 10B - Calculus II (A),WI17,389,169,79.20%,73.40%,6.21,B (3.06),C+ (2.62)
"Longo, Brian Mitchell",MATH 10B - Calculus II (B),WI17,309,140,83.60%,94.80%,6.29,B (3.10),C+ (2.59)
"Carter, Anne Toulson",MATH 10C - Calculus III (A),WI17,261,125,90.10%,98.30%,5.95,B (3.26),B (3.03)
"Stone, Corey Dean",MATH 10C - Calculus III (B),WI17,177,73,88.60%,97.10%,5.6,B+ (3.54),C+ (2.60)
"Conant, James R",MATH 11 - Calculus-Based Prob & Stats (A),WI17,189,102,85.40%,82.30%,6.16,B (3.30),B (3.15)
"Schweinsberg, Jason",MATH 11 - Calculus-Based Prob & Stats (B),WI17,202,109,85.20%,91.70%,7.8,B+ (3.43),B- (2.93)
"Li, Bo",MATH 110B - Partial Diff Equa&Integral Equ (A),WI17,18,8,100.00%,100.00%,7.25,A- (3.75),N/A
"Izadi, Elham",MATH 120A - Elements of Complex Analysis (A),WI17,67,20,100.00%,88.20%,6.63,B (3.06),B- (2.81)
"Stevens, Laura Jeanne",MATH 121A - Found of Teachg/Learng Math I (A),WI17,30,18,93.80%,93.80%,4.5,B+ (3.40),B- (2.75)
"Wenzl, Hans G",MATH 130B - Ordinary Differntl Equation II (A),WI17,7,3,50.00%,100.00%,6.5,A (4.00),N/A
"Mohammadi, Amir",MATH 140A - Foundations of Real Analysis I (A),WI17,52,16,85.70%,100.00%,11.21,B+ (3.46),C+ (2.43)
"Chow, Bennett",MATH 140B - Foundations/Real Analysis II (B),WI17,41,17,93.30%,100.00%,8.9,B+ (3.33),B- (2.87)
"Bejenaru, Ioan",MATH 142A - Introduction to Analysis I (A),WI17,144,55,84.60%,92.30%,8.06,B (3.22),C+ (2.56)
"Zlatos, Andrej",MATH 142B - Introduction to Analysis II (A),WI17,41,13,50.00%,83.30%,7.9,C (2.27),C (2.15)
"Curry, Sean N",MATH 142B - Introduction to Analysis II (B),WI17,97,44,71.40%,81.00%,9.29,B (3.02),B (3.25)
"Kedlaya, Kiran S.",MATH 152 - Applicable Math and Computing (A),WI17,138,62,87.90%,89.70%,6.32,B+ (3.57),B+ (3.36)
"Harel, Guershon",MATH 153 - Geometry for Secondary Teacher (A),WI17,24,11,100.00%,81.80%,8.7,B (3.27),B (3.06)
"Rhoades, Brendon Patrick",MATH 154 - Discrete Math & Graph Theory (A),WI17,81,57,84.20%,89.50%,8.06,B- (2.91),B (3.03)
"Buss, Samuel R",MATH 155A - Geometric Computer Graphics (A),WI17,55,21,95.20%,95.20%,8.79,B+ (3.43),B (3.29)
"Um, Ko Woon",MATH 15A - Intro/Discrete Mathematics (A),WI17,72,33,90.00%,66.70%,4.36,A- (3.75),B (3.15)
"Cheng, Li-Tien",MATH 170A - Intro Numerical Analys/Linear (A),WI17,142,38,71.40%,74.30%,7.81,B (3.03),C+ (2.50)
"Deotte, Christopher George",MATH 170B - Intro/Numerical Analy/Approxim (A),WI17,145,59,98.10%,100.00%,6.76,A- (3.87),B+ (3.48)
"Gill, Philip E.",MATH 171A - Intro Num Optimiz/Linear Prog (A),WI17,129,51,85.10%,76.60%,6.27,B+ (3.47),B- (2.72)
"Bank, Randolph E",MATH 175 - Numerical Methods for PDE (A),WI17,8,4,25.00%,75.00%,6,C (2.00),N/A
"Ying, Jiangang",MATH 18 - Linear Algebra (A),WI17,141,59,87.50%,32.10%,5.43,B+ (3.35),C+ (2.62)
