Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Burgasser, Adam Jonathan",PHYS 10 - Concepts In Physics (A),WI17,182,81,81.60%,88.20%,5.85,B+ (3.31),B+ (3.60)
"Jenkins, Elizabeth",PHYS 100B - Electromagnetism II (A),WI17,107,44,90.00%,87.50%,7.58,B- (2.92),B (3.01)
"Dubin, Daniel Herschel",PHYS 105B - Mathematical&Computatnl Phy II (A),WI17,42,14,91.70%,100.00%,14.86,B (3.09),B- (2.80)
"Wu, Congjun",PHYS 110A - Mechanics I (A),WI17,45,19,94.70%,57.90%,8.61,B (3.24),B (3.19)
"Barreiro Guerrero, Julio",PHYS 124 - Laboratory Projects (A),WI17,27,24,100.00%,95.70%,7.14,B+ (3.65),B+ (3.57)
"Murphy, Thomas",PHYS 124 - Laboratory Projects (A),WI17,27,23,100.00%,95.00%,7.45,B+ (3.62),B+ (3.57)
"Branson, James G",PHYS 130C - Quantum Physics III (A),WI17,15,6,83.30%,0.00%,9.17,B+ (3.33),N/A
"Grover, Tarun",PHYS 140B - Statistical & Thermal Phys II (A),WI17,18,13,100.00%,100.00%,10.83,B (3.17),N/A
"Kuti, Julius",PHYS 141 - Comp Phys I:Prob Models & Simu (A),WI17,11,1,100.00%,100.00%,8.5,B (3.00),N/A
"Butov, Leonid",PHYS 152A - Condensed Matter Physics (A),WI17,10,5,100.00%,100.00%,5.83,B+ (3.67),N/A
"Konopacky, Quinn Morgan",PHYS 160 - Stellar Astrophysics (A),WI17,47,40,87.50%,82.50%,4.85,B (3.28),B (3.09)
"Wright, Shelley Adams",PHYS 164 - Observational Astrophysics Lab (A),WI17,27,19,88.90%,100.00%,11.28,B (3.11),B (3.16)
"Hwa, Terence T.",PHYS 176 - Quantitative Molecular Biology (A),WI17,1,1,100.00%,100.00%,6.5,B (3.00),N/A
"Kleinfeld, David",PHYS 178 - Biophysics/Neurons & Networks (A),WI17,19,8,100.00%,100.00%,6.17,B+ (3.43),N/A
"Popmintchev, Tenio",PHYS 1A - Mechanics (A),WI17,316,241,72.20%,66.20%,6.12,B (3.17),B+ (3.38)
"Anderson, Michael G.",PHYS 1AL - Mechanics Laboratory (0),WI17,328,161,85.20%,79.90%,3.37,B+ (3.55),B+ (3.51)
"Smith, Douglas E",PHYS 1B - Electricity and Magnetism (A),WI17,357,167,78.70%,88.40%,5.32,B+ (3.39),B+ (3.33)
"Smith, Douglas E",PHYS 1B - Electricity and Magnetism (B),WI17,306,151,76.00%,88.40%,4.86,B+ (3.46),B+ (3.33)
"Paddock, Mark",PHYS 1B - Electricity and Magnetism (C),WI17,359,306,78.00%,87.90%,5.89,B+ (3.47),B+ (3.44)
"Anderson, Michael G.",PHYS 1BL - Electricity & Magnetism Lab (0),WI17,1007,400,66.80%,76.80%,3.53,B+ (3.62),B+ (3.45)
"Paddock, Mark","PHYS 1C - Waves, Optics & Modern Physics (A)",WI17,272,240,70.60%,79.40%,6.42,B (3.23),B (3.17)
"Anderson, Michael G.","PHYS 1CL - Waves,Optics&Modrn Phys Lab (0)",WI17,263,104,74.70%,81.30%,4.22,B+ (3.43),B+ (3.36)
"Ni, Kaixuan",PHYS 2A - Physics-Mechanics (A),WI17,331,190,94.00%,88.50%,6.63,B+ (3.42),B (3.10)
"Shpyrko, Oleg",PHYS 2A - Physics-Mechanics (B),WI17,314,142,85.90%,90.40%,5.76,B (3.27),B (3.05)
"Shpyrko, Oleg",PHYS 2A - Physics-Mechanics (C),WI17,327,133,90.40%,95.20%,5.4,B (3.28),B (3.05)
"Schuller, Ivan K",PHYS 2B - Phys-Electricity and Magnetism (A),WI17,235,85,79.70%,38.00%,7.77,B (3.12),B- (2.94)
"Anderson, Michael G.",PHYS 2BL - Physics Laboratory-Mechanics (A),WI17,60,22,71.40%,71.40%,6.5,B+ (3.65),B (3.26)
"Fogler, Michael M.","PHYS 2C - Physics-Flu,Wav,Thrmdyn,Optics (A)",WI17,288,115,75.70%,44.10%,7.35,B (3.06),B- (2.76)
