Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Searle, David Mordecai",POLI 100B - The U. S. Congress (A),WI17,92,39,89.50%,81.60%,5.09,B+ (3.47),B (3.11)
"Galderisi, Peter",POLI 100C - American Political Parties (A),WI17,122,48,91.70%,95.80%,3.89,B+ (3.66),B+ (3.45)
"Fletcher, Nathan",POLI 102D - Voting Rights Act 50 yrs later (A),WI17,89,31,82.80%,93.10%,4.98,B+ (3.43),B (3.28)
"Smith, Glenn Chatmas",POLI 104B - Civil Liberties-Fundmntl Rghts (A),WI17,125,46,95.10%,95.10%,5.35,B+ (3.58),B+ (3.40)
"Galderisi, Peter",POLI 104G - Election Law (A),WI17,65,17,94.10%,100.00%,6.5,A- (3.71),B+ (3.59)
"Bergman, Matthew Edward",POLI 104J - Introduction/Legal Reasoning (A),WI17,13,2,100.00%,100.00%,10.5,B+ (3.50),N/A
"Adida, Claire",POLI 108 - Politics of Multiculturalism (A),WI17,149,63,88.70%,93.50%,4.6,B+ (3.46),B+ (3.65)
"Hill, Seth J",POLI 10D - Intro/Poli Sci:Amer Politics (A),WI17,186,95,97.80%,96.60%,4.05,B+ (3.49),B (3.25)
"Wiens, David Abram","POLI 110B - Sovereigns,Subj & Modern State (A)",WI17,27,19,94.10%,94.10%,5.38,B+ (3.31),B (3.17)
"Hoston, Germaine",POLI 114B - Marxist Political Thought (A),WI17,29,10,55.60%,77.80%,7.39,B (3.25),B+ (3.46)
"Strom, Kaare",POLI 11D - Intro/Poli Sci:Compar Politics (A),WI17,53,27,81.80%,81.80%,4.32,B+ (3.40),B (3.01)
"Magagna, Victor Valentine",POLI 120A - Pol Develop of Western Europe (A),WI17,462,135,96.20%,98.50%,3.62,A- (3.97),A- (3.81)
"Chandler, William M.",POLI 120C - Politics In France (A),WI17,63,20,94.70%,100.00%,3.76,A- (3.82),B+ (3.45)
"Strom, Kaare",POLI 120E - Scandinavian Politics (A),WI17,29,7,100.00%,100.00%,3.64,B+ (3.57),B- (2.83)
"Nichter, Simeon C",POLI 126 - Political Economy/Development (A),WI17,64,39,94.90%,94.90%,5.39,A- (3.79),B (3.30)
"Lake, David A",POLI 12D - Intro/Poli Sci:Int'l Relations (A),WI17,138,130,97.70%,97.70%,4.45,B+ (3.37),B (3.28)
"Hoston, Germaine",POLI 130AD - Politics of Russian Revolution (A),WI17,18,8,87.50%,75.00%,8.5,B+ (3.63),N/A
"Moon, Chung-In",POLI 133J - Korean Politics (A),WI17,64,27,66.70%,70.80%,5.59,B (3.10),B (3.10)
"Magagna, Victor Valentine",POLI 136 - Religion and Politics (A),WI17,470,130,96.80%,99.20%,3.59,A- (3.98),A- (3.92)
"Forman, Fonna",POLI 13D - Power and Justice (A),WI17,182,75,93.00%,83.10%,4,B+ (3.66),B+ (3.39)
"Wong, Tak Kei",POLI 140D - It'l Human Rights Law Migrants (A),WI17,140,46,95.20%,97.60%,6.76,B+ (3.62),B (3.24)
"Fisk, David Lee",POLI 142A - United States Foreign Policy (A),WI17,131,49,95.70%,97.90%,5.24,B+ (3.56),B+ (3.56)
"Mares, David R",POLI 142L - Insurgency and Terrorism (A),WI17,50,18,76.50%,76.50%,3.5,B+ (3.50),B (3.02)
"Mares, David R",POLI 145A - International Politics & Drugs (A),WI17,71,23,56.50%,52.20%,4.59,B (3.05),B- (2.81)
"Wong, Tak Kei",POLI 150A - Politics of Immigration (A),WI17,267,81,96.20%,94.90%,5.43,B+ (3.66),B (3.27)
"Adida, Claire",POLI 191B - Senr Hon Sem:Frontier/POLI II (A),WI17,8,4,75.00%,100.00%,10,B (3.00),N/A
"Broz, James Lawrence",POLI 191B - Senr Hon Sem:Frontier/POLI II (A),WI17,8,4,75.00%,100.00%,10,B (3.00),N/A
"Kernell, Samuel H.",POLI 194 - Research Seminar/Washington DC (A),WI17,11,1,100.00%,100.00%,4.5,A (4.00),N/A
"Galderisi, Peter",POLI 194SD - Local Internship Research Sem. (A),WI17,2,1,100.00%,100.00%,4.5,A (4.00),N/A
