Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Steiner, Eric Tomas",PSYC 1 - Psychology (A),WI17,303,179,97.70%,98.80%,4.11,B+ (3.52),B (3.03)
"Walker, Caren Michelle",PSYC 101 - Developmental Psychology (A),WI17,274,240,96.20%,91.60%,4.47,B (3.26),B (3.18)
"Serences, John Thomas",PSYC 102 - Sensory Neuroscience (A),WI17,322,148,89.90%,92.80%,5.09,B+ (3.37),B+ (3.34)
"Frederick, David A",PSYC 104 - Social Psychology (A),WI17,143,125,96.70%,95.90%,4.37,B+ (3.52),B (3.17)
"Dobkins, Karen R.",PSYC 106 - Behavioral Neuroscience (A),WI17,274,121,81.20%,78.60%,5.45,B- (2.90),B- (2.98)
"Aron, Adam",PSYC 108 - Cognitive Neuroscience (A),WI17,97,77,84.40%,84.40%,5.55,B (3.10),B+ (3.32)
"Heyman, Gail D.",PSYC 110 - Junior Honors Research Seminar (A),WI17,26,17,100.00%,100.00%,3.5,A- (3.81),A- (3.91)
"Geller, Emma Harlan",PSYC 111A - Research Methods I (A),WI17,29,21,100.00%,100.00%,9.09,A- (3.83),A- (3.79)
"Winkielman, Piotr",PSYC 114 - Lab/Psychophysiological Persp (B),WI17,19,8,100.00%,87.50%,4,B+ (3.63),N/A
"Pashler, Harold E",PSYC 115A - Lab/Cognitive Psychology I (A),WI17,15,3,66.70%,100.00%,4.5,B+ (3.67),N/A
"Winward, Jennifer Laven",PSYC 116 - Lab/Clinical Psyc Research (A),WI17,14,11,100.00%,100.00%,4.28,A (4.00),N/A
"Bajic, Daniel Andrew",PSYC 117 - Educ Research/Outreach Lab (A),WI17,21,14,100.00%,100.00%,5.21,A (4.00),A (4.00)
"Rose, Fred E.",PSYC 125 - Clinical Neuropsychology (A),WI17,83,40,87.20%,92.30%,5.97,B (3.26),C+ (2.52)
"Wixted, John T",PSYC 144 - Memory and Amnesia (A),WI17,229,91,85.10%,93.10%,4.62,B+ (3.34),B- (2.84)
"Frederick, David A",PSYC 147 - Gender (A),WI17,38,31,96.60%,100.00%,5.36,B+ (3.54),B (3.14)
"Mc Kenzie, Craig R.M.",PSYC 148 - Psychology/Judgement&Decision (A),WI17,84,44,69.00%,78.60%,5.23,B (3.08),B- (2.92)
"Serences, John Thomas",PSYC 150 - Cogn Neuroscience of Vision (A),WI17,59,19,100.00%,100.00%,5.09,A- (3.76),B+ (3.46)
"Gasperi, Marianna",PSYC 152 - Conceptions of Intelligence (A),WI17,50,19,89.50%,94.70%,4.61,B (3.28),B+ (3.43)
"Harris, Christine Renee",PSYC 153 - Psychology of Emotion (A),WI17,255,138,98.50%,97.00%,4.98,B+ (3.40),B- (2.93)
"Winward, Jennifer Laven",PSYC 154 - Behavior Modification (A),WI17,167,127,91.90%,84.70%,3.96,B+ (3.43),B (3.04)
"Christenfeld, Nicholas",PSYC 157 - Happiness (A),WI17,27,9,100.00%,100.00%,6.5,B+ (3.50),B+ (3.44)
"Fletcher, Laura Michelle",PSYC 166 - History of Psychology (A),WI17,38,27,92.30%,100.00%,3.35,B+ (3.54),B+ (3.56)
"Ramachandran, Vilayanur S",PSYC 169 - Brain Damage & Mental Function (A),WI17,54,30,92.90%,78.60%,3.54,B+ (3.50),B (3.00)
"Anagnostaras, Stephan",PSYC 181 - Drugs And Behavior (A),WI17,313,247,89.50%,88.30%,5.21,B (3.27),B (3.18)
"Gentner, Tim","PSYC 189 - Brain, Behavior, and Evolution (A)",WI17,12,4,100.00%,100.00%,5,A- (3.75),N/A
"Hanes, Esther",PSYC 190 - Parenting (A),WI17,202,108,98.10%,96.30%,4.14,B+ (3.66),B+ (3.54)
"Christenfeld, Nicholas",PSYC 192 - Senior Seminar in Psychology (A),WI17,7,4,100.00%,100.00%,1,N/A,N/A
"Dobkins, Karen R.",PSYC 193 - Topics in Psychology (B),WI17,25,11,100.00%,90.90%,5.95,A- (3.80),A- (3.75)
"Heyman, Gail D.",PSYC 194B - Honors Thesis II (A),WI17,18,3,100.00%,100.00%,7.17,A (4.00),N/A
"Wilson, Brent M",PSYC 3 - Gen Psych:Cognitive Foundatns (A),WI17,264,197,94.40%,95.40%,3.68,B+ (3.52),B (3.29)
"Lowe, Angela Beth",PSYC 60 - Introduction to Statistics (A),WI17,201,170,86.40%,94.10%,5.4,B (3.25),B- (2.98)
"Hoffman, Drew Ellen",PSYC 60 - Introduction to Statistics (B),WI17,165,132,91.50%,89.10%,4.5,B+ (3.31),B+ (3.35)
"Lowe, Angela Beth",PSYC 7 - Gen Psych:Developmental Fndtns (A),WI17,278,232,95.70%,97.40%,3.78,B+ (3.37),B (3.06)
"Geller, Emma Harlan",PSYC 70 - Research Methods in Psychology (A),WI17,81,72,93.00%,98.60%,4.89,B+ (3.37),B (3.08)
"Christenfeld, Nicholas",PSYC 87 - Freshman Seminar (A),WI17,7,3,100.00%,100.00%,4.5,N/A,N/A
"Heyman, Gail D.",PSYC 90 - Undergraduate Seminar (A),WI17,18,9,100.00%,100.00%,0.5,N/A,N/A
"Dobkins, Karen R.",No CAPEs submitted,WI17,1,0,N/A,N/A,N/A,N/A,N/A
"Serences, John Thomas",No CAPEs submitted,WI17,1,0,N/A,N/A,N/A,N/A,N/A
"Dimler, Laura",PSYC 1 - Psychology (A),FA16,372,337,96.40%,95.50%,4.56,B+ (3.44),B- (2.92)
"Rose, Fred E.",PSYC 100 - Clinical Psychology (A),FA16,229,195,90.10%,91.60%,6.73,B- (2.94),B- (2.78)
"Heyman, Gail D.",PSYC 101 - Developmental Psychology (A),FA16,292,204,96.90%,92.70%,5.36,B+ (3.49),B (3.07)
"Turner, Katherine C",PSYC 104 - Social Psychology (A),FA16,310,244,97.50%,89.30%,4.63,B+ (3.56),B+ (3.45)
"Lowe, Angela Beth",PSYC 105 - Cognitive Psychology (A),FA16,237,203,90.60%,95.60%,5.05,B (3.17),B (3.01)
"Winward, Jennifer Laven",PSYC 116 - Lab/Clinical Psyc Research (A),FA16,23,10,100.00%,87.50%,2.5,A- (3.75),A- (3.75)
"Aron, Adam",PSYC 123 - Cognitive Control/Frontal Lobe (A),FA16,13,10,100.00%,100.00%,9.3,A- (3.70),N/A
"Golden, Susan S.",PSYC 133 - Circadian Rhythms-Bio Clocks (A),FA16,20,19,73.70%,94.70%,5.39,B (3.18),B (3.13)
"Gorman, Michael R.",PSYC 133 - Circadian Rhythms-Bio Clocks (A),FA16,21,18,77.80%,88.90%,5.21,B (3.19),B (3.13)
"Kaye, Walter H.",PSYC 134 - Eating Disorders (A),FA16,272,135,95.30%,93.80%,3.69,B+ (3.65),B (3.13)
"Momma, Shota",PSYC 145 - Psychology of Language (A),FA16,58,33,63.30%,73.30%,4.71,B- (2.96),B (3.06)
