Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Cruz, Edwin Teddy",VIS 100 - Introduction to Public Culture (A),WI17,23,21,90.00%,95.00%,5.3,A- (3.79),A (4.00)
"Li, Huai",VIS 105D - Aesthetics/Chinese Calligraphy (A),WI17,24,12,100.00%,100.00%,4.28,A (4.00),A- (3.85)
"Ortiz-Torres, Ruben",VIS 106B - Painting: Practices and Genre (A),WI17,14,4,100.00%,100.00%,5,A (4.00),N/A
"Vangenderen, Monique Luise",VIS 106C - Painting: Portfolio Projects (A),WI17,11,7,75.00%,75.00%,10.5,A- (3.75),N/A
"Gallaccio, Anya",VIS 107C - Sculpture: Portfolio Projects (A),WI17,16,11,81.80%,63.60%,10.86,B+ (3.55),N/A
"Bedford, Elizabeth W",VIS 108 - Advanced Projects in Art (A),WI17,16,12,90.90%,90.90%,8.32,A- (3.91),N/A
"Tonies, Joshua Vanjaymes",VIS 110A - Contemporary Issues & Practice (A),WI17,15,13,92.30%,100.00%,5.88,A- (3.92),N/A
"Vangenderen, Monique Luise",VIS 110M - Studio Honors I (A),WI17,13,9,88.90%,100.00%,10.28,A- (3.89),N/A
"Park, Kyong Dong",VIS 111 - Structure of Art (A),WI17,160,69,66.70%,68.20%,3.61,B+ (3.63),B+ (3.48)
"Welchman, John C.",VIS 112 - Art Historical Methods (A),WI17,10,6,66.70%,83.30%,11.5,B+ (3.67),N/A
"Newsome, Elizabeth Ann",VIS 117E - Problems in Ethnoaesthetics (A),WI17,10,6,100.00%,100.00%,4.83,A (4.00),N/A
"Woods, Ann",VIS 120B - Roman Art (A),WI17,78,37,94.40%,100.00%,3.67,B+ (3.56),B (3.25)
"Tronzo, William",VIS 121AN - Art Experience in Middle Ages (A),WI17,35,27,88.50%,96.20%,3.46,B+ (3.56),B+ (3.64)
"Welchman, John C.",VIS 125BN - Contemporary Art (A),WI17,47,18,88.90%,77.80%,4.97,B (3.21),B (3.23)
"Wardwell, Mariana Razo",VIS 126P - Latin American Art: 1890-1950 (A),WI17,35,15,93.30%,93.30%,4.63,A- (3.77),A- (3.85)
"Park, Kyong Dong",VIS 127I - Architecture&Urbanism of Korea (A),WI17,25,12,100.00%,100.00%,3.59,B+ (3.36),B+ (3.47)
"Williams, Alena J",VIS 128C - Topics in Modern Art History (A),WI17,14,10,80.00%,100.00%,4.9,B+ (3.44),N/A
"Rose, Jordan M",VIS 129C - Seminar/Modern Art History (A),WI17,3,1,0.00%,100.00%,6.5,B (3.00),N/A
"Tronzo, William",VIS 129G - Art History Honors Seminar (A),WI17,7,6,100.00%,100.00%,7.5,A (4.00),N/A
"Stalbaum, Brett",VIS 141A - Computer Programming/Arts I (A),WI17,11,2,100.00%,100.00%,6.5,A (4.00),N/A
"Alexander, Amy J",VIS 145A - Time&Process Digital Media I (A),WI17,74,37,77.10%,77.10%,5.3,B+ (3.40),B+ (3.66)
"Stalbaum, Brett",VIS 147B - Electronic Technologies/Art II (A),WI17,16,5,100.00%,100.00%,7,A- (3.80),N/A
"Brown, Sheldon Glenn",VIS 149 - Contemporary Computer Topics (A),WI17,13,7,83.30%,66.70%,10.5,A (4.00),N/A
"Gorin, Jean-Pierre",VIS 154 - Hard Look at the Movies (A),WI17,63,21,94.70%,73.70%,4.38,A- (3.75),B+ (3.31)
"Williams, Alena J",VIS 159 - History of Art and Technology (A),WI17,117,72,70.40%,83.10%,4.56,B+ (3.41),B (3.14)
"O'Callaghan, Deirdre M",VIS 164 - Photographic Strategies (A),WI17,22,13,100.00%,91.70%,6.33,B+ (3.58),B+ (3.63)
"Cross, Brian R",VIS 165 - Camera Tech:Analog Futures (A),WI17,24,13,100.00%,100.00%,8.04,B+ (3.50),B+ (3.37)
"Ortiz-Torres, Ruben",VIS 165 - Camera Tech:Analog Futures (B),WI17,22,10,87.50%,75.00%,5.75,B+ (3.63),B+ (3.47)
"Osterloh, Gina B",VIS 171 - Digital Cinema-Theory/Productn (A),WI17,25,9,100.00%,100.00%,10.28,A (4.00),A- (3.91)
"O'Callaghan, Deirdre M",VIS 174 - Media Sketchbook (A),WI17,22,13,92.30%,100.00%,9.23,B+ (3.45),B+ (3.52)
"Trigilio, Michael",VIS 174 - Media Sketchbook (B),WI17,20,19,94.70%,84.20%,8.92,B (3.26),B (3.13)
"Crandall, Jordan",VIS 177 - Scripting Strategies (A),WI17,21,17,100.00%,93.80%,5.13,A- (3.80),A- (3.84)
"Hock, Louis J.",VIS 180A - Documentary Evidence/Media Pra (A),WI17,21,7,100.00%,100.00%,5.36,B (3.29),B+ (3.42)
"Tonies, Joshua Vanjaymes",VIS 180B - Fic & Allegory/Curr Media Prac (A),WI17,22,11,100.00%,100.00%,6.7,B+ (3.60),A- (3.83)
"Mangolte, Babette",VIS 181 - Sound And Lighting (A),WI17,23,11,100.00%,90.90%,9.23,B+ (3.60),B+ (3.52)
"Trigilio, Michael",VIS 183B - Strategies of Alterity (A),WI17,21,20,90.00%,90.00%,9.1,B- (2.90),B- (2.85)
"Dominguez, Ricardo",VIS 2 - Intr/Art-Making:Motn&Time Base (A),WI17,69,28,78.60%,85.70%,5.88,B+ (3.57),B+ (3.67)
"Chou, Yeongchau D",VIS 21B - Introduction/Asian Art (A),WI17,168,82,76.50%,60.50%,3.69,B+ (3.53),B (3.29)
"Bryson, William N",VIS 22 - Formations of Modern Art (A),WI17,232,126,79.00%,91.90%,4.85,B+ (3.31),B (3.29)
"Osterloh, Gina B",VIS 60 - Intro/Digital Photography (A),WI17,158,91,88.00%,74.70%,4.42,A- (3.81),A- (3.76)
"Adler, Amy",VIS 80 - Introduction to Studio Major (A),WI17,50,32,83.30%,96.70%,9.37,A- (3.90),A- (3.72)
"Gallaccio, Anya",VIS 1 - Intr/Art-Making:2-D Practices (A),FA16,306,143,84.70%,64.90%,4.01,B+ (3.58),B+ (3.52)
"Ortiz-Torres, Ruben",VIS 1 - Intr/Art-Making:2-D Practices (A),FA16,307,145,84.20%,78.80%,4,B+ (3.59),N/A
"Herzog, Katie",VIS 105A - Drawing: Representing/Subject (A),FA16,31,23,90.50%,90.50%,4.69,A- (3.95),A- (3.99)
"Bedford, Elizabeth W",VIS 105C - Drawing: Portfolio Projects (A),FA16,12,10,100.00%,100.00%,7.25,A- (3.78),N/A
"Vangenderen, Monique Luise",VIS 106A - Painting: Image Making (A),FA16,25,25,95.80%,95.80%,4.76,A- (3.82),A- (3.84)
"Guerrero, Raul M.",VIS 106B - Painting: Practices and Genre (A),FA16,22,8,100.00%,100.00%,3.17,A (4.00),A (4.00)
"Gregoire, Mathieu",VIS 107B - Sculpture: Practices & Genre (A),FA16,18,12,100.00%,100.00%,9.5,A- (3.75),N/A
"Adler, Amy","VIS 110C - Proposals, Plans, Presentation (A)",FA16,16,16,100.00%,100.00%,6.13,A- (3.88),N/A
"Bryson, William N",VIS 124BN - Art and the Enlightenment (A),FA16,66,48,91.10%,95.60%,4.45,B (3.29),B- (2.78)
"Rose, Jordan M",VIS 124CN - Nineteenth Century Art (A),FA16,37,18,83.30%,88.90%,6.83,B+ (3.54),B+ (3.42)
"Nodelman, Sheldon A.",VIS 125DN - Marcel Duchamp (A),FA16,30,15,85.70%,64.30%,5.5,B (3.27),B+ (3.40)
"Newsome, Elizabeth Ann",VIS 126BN - Art&Civilization/Ancient Maya (A),FA16,69,25,91.70%,91.70%,4,B+ (3.44),B (3.16)
"Shen, Kuiyi",VIS 127C - Arts of Modern China (A),FA16,142,55,88.50%,92.30%,5.72,B+ (3.59),B+ (3.68)
"Stalbaum, Brett",VIS 141B - Computer Programming/Arts II (A),FA16,8,4,100.00%,100.00%,9,A- (3.75),N/A
"Stalbaum, Brett",VIS 142 - Practices in Computing Arts (A),FA16,54,30,85.70%,89.30%,7.43,B+ (3.48),B+ (3.46)
"Byrd, Stefani Michele",VIS 145B - Time&Process Digital Media II (A),FA16,12,10,80.00%,80.00%,5.7,B+ (3.50),N/A
"Grenader, Emily Ruth",VIS 147A - Electronic Technologies/Art I (A),FA16,38,29,92.90%,92.90%,5.81,B+ (3.58),B+ (3.55)
"Kester, Grant",VIS 158 - Histories of Photography (A),FA16,131,59,87.90%,96.60%,3.81,B+ (3.56),B+ (3.38)
"Wallen, Ruth",VIS 164 - Photographic Strategies (A),FA16,25,10,70.00%,60.00%,6.7,B+ (3.60),B+ (3.38)
"Cross, Brian R",VIS 171 - Digital Cinema-Theory/Productn (A),FA16,19,8,100.00%,71.40%,6.21,B+ (3.57),N/A
"Cross, Brian R",VIS 174 - Media Sketchbook (A),FA16,23,12,100.00%,100.00%,8.86,A- (3.73),A- (3.87)
"Osterloh, Gina B",VIS 174 - Media Sketchbook (B),FA16,22,16,100.00%,93.80%,6.79,A- (3.87),A- (3.91)
"Cho, Erica",VIS 175 - Editing - Theory & Production (A),FA16,20,11,100.00%,100.00%,6.1,B+ (3.45),B+ (3.62)
